Date,Open,High,Low,Close,Adj Close,Volume
2018-05-01,6.340000,7.230000,6.210000,7.100000,6.945317,373711100
2018-06-01,7.130000,7.700000,6.610000,6.770000,6.633513,420035000
2018-07-01,6.750000,7.290000,6.720000,7.020000,6.878473,262031900
2018-08-01,6.990000,7.110000,6.810000,7.100000,6.956860,282094300
2018-09-01,7.070000,7.250000,6.160000,6.320000,6.202402,502968000
2018-10-01,6.340000,6.380000,5.550000,6.020000,5.907983,669430600
2018-11-01,5.990000,6.380000,5.830000,6.230000,6.114077,576210700
2018-12-01,6.300000,6.430000,5.480000,5.710000,5.614447,511248700
2019-01-01,5.690000,6.370000,5.670000,5.830000,5.732439,585404100
2019-02-01,5.870000,6.190000,5.810000,5.930000,5.830765,523941500
2019-03-01,5.950000,6.180000,5.630000,5.670000,5.586498,640511600
2019-04-01,5.700000,6.170000,5.630000,5.810000,5.724436,653060900
2019-05-01,5.810000,5.910000,5.240000,5.310000,5.231799,573780900
2019-06-01,5.310000,5.780000,5.230000,5.580000,5.509341,490838200
2019-07-01,5.630000,6.320000,5.610000,6.260000,6.180730,484641100
2019-08-01,6.280000,6.380000,5.940000,6.170000,6.091869,406591600
2019-09-01,6.130000,6.500000,6.100000,6.260000,6.192893,371606400
2019-10-01,6.280000,6.750000,6.170000,6.720000,6.647962,388762000
2019-11-01,6.740000,7.000000,6.720000,6.980000,6.905174,408979100
2019-12-01,6.970000,7.200000,6.700000,7.150000,7.086941,364335800
2020-01-01,7.130000,7.230000,6.960000,7.070000,7.007646,393488900
2020-02-01,7.100000,7.400000,6.200000,6.340000,6.284085,446714000
2020-03-01,6.280000,6.700000,4.110000,4.940000,4.905289,871957700
2020-04-01,4.760000,6.030000,4.410000,5.910000,5.868473,518479800
2020-05-01,5.800000,5.860000,5.010000,5.820000,5.779105,757383200
2020-06-01,5.820000,6.730000,5.520000,5.870000,5.842172,713825300
2020-07-01,5.880000,6.200000,5.510000,5.880000,5.852125,545329400
2020-08-01,5.870000,6.200000,5.750000,5.870000,5.842172,398632900
2020-09-01,5.830000,5.990000,4.950000,5.360000,5.346350,643017000
2020-10-01,5.400000,6.040000,5.380000,5.730000,5.715408,589431900
2020-11-01,5.790000,6.660000,5.740000,6.490000,6.473472,441216700
2020-12-01,6.510000,6.730000,6.320000,6.420000,6.420000,226154100
