Date,Open,High,Low,Close,Adj Close,Volume
2018-05-01,162.119995,171.229996,148.061005,157.710007,157.710007,67438100
2018-06-01,158.899994,182.449997,157.350006,168.240005,168.240005,44778400
2018-07-01,165.800003,198.990005,162.029999,182.830002,182.830002,39734600
2018-08-01,183.529999,196.949997,174.649994,189.520004,189.520004,29844000
2018-09-01,190.000000,190.309998,168.000000,180.830002,180.830002,25550900
2018-10-01,182.619995,184.949997,131.009995,149.690002,149.690002,45857300
2018-11-01,133.399994,147.270004,120.489998,136.380005,136.380005,41241000
2018-12-01,140.869995,144.490005,103.290001,113.500000,113.500000,29717200
2019-01-01,111.660004,140.699997,108.589996,135.449997,135.449997,32585800
2019-02-01,135.119995,153.440002,128.699997,140.139999,140.139999,41928000
2019-03-01,139.210007,147.789993,131.779999,138.800003,138.800003,32494700
2019-04-01,139.929993,146.199997,132.210999,135.770004,135.770004,35431800
2019-05-01,136.500000,138.179993,120.050003,125.580002,125.580002,26287500
2019-06-01,125.519997,154.294998,121.330002,146.220001,146.220001,42353700
2019-07-01,148.100006,156.800003,142.580002,154.940002,154.940002,28171100
2019-08-01,154.940002,161.380005,130.020004,134.949997,134.949997,24844900
2019-09-01,134.380005,136.690002,110.750000,114.000000,114.000000,28367000
2019-10-01,117.410004,144.619995,110.570000,144.300003,144.300003,40695800
2019-11-01,145.000000,154.309998,135.250000,142.550003,142.550003,31328500
2019-12-01,143.080002,154.000000,140.009995,149.550003,149.550003,21418600
2020-01-01,151.000000,159.979996,140.000000,141.300003,141.300003,24631300
2020-02-01,141.729996,156.000000,129.639999,137.119995,137.119995,34903500
2020-03-01,137.979996,149.350006,109.180000,121.440002,121.440002,37636100
2020-04-01,119.809998,163.940002,116.000000,151.570007,151.570007,31530400
2020-05-01,144.500000,196.750000,143.009995,180.929993,180.929993,38438200
2020-06-01,181.500000,271.709991,177.210007,258.190002,258.190002,87791600
2020-07-01,256.000000,299.670013,243.110001,257.820007,257.820007,65045300
2020-08-01,259.000000,284.908997,241.270004,282.160004,282.160004,30564600
2020-09-01,284.649994,294.670013,220.699997,242.570007,242.570007,34676100
2020-10-01,244.520004,292.790009,235.880005,239.889999,239.889999,32087300
2020-11-01,240.009995,291.720001,228.110001,291.369995,291.369995,28055900
2020-12-01,291.040009,346.440002,281.190002,341.220001,341.220001,22322000
